🇨🇳［香港B］,#genre#

翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
Tvb Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2

凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw

TVB 星河,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe

🇨🇳［香港G］,#genre#
RTHK31, https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream1/streamPlaylist.m3u8
RTHK31, https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream2/streamPlaylist.m3u8
RTHK31, https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream3/streamPlaylist.m3u8
RTHK31, https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream4/streamPlaylist.m3u8
RTHK31, https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8
RTHK32, https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream1/streamPlaylist.m3u8
RTHK32, https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
RTHK32, https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream3/streamPlaylist.m3u8
RTHK32, https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream4/streamPlaylist.m3u8
RTHK32, https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8

RTHK33, https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK33, https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
RTHK33, https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream02/streamPlaylist.m3u8
RTHK33, https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream01/streamPlaylist.m3u8
RTHK33, https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/master.m3u8

RTHK34, https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK34, https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream03/streamPlaylist.m3u8
RTHK34, https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
RTHK34, https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream01/streamPlaylist.m3u8
RTHK34, https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/master.m3u8
RTHK34, https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
RTHK34, https://livedoc.cgtn.com/1000d/prog_index.m3u8

RTHK35, https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream04/streamPlaylist.m3u8
RTHK35, https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream03/streamPlaylist.m3u8
RTHK35, https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
RTHK35, https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream01/streamPlaylist.m3u8
RTHK35, https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/master.m3u8

國際財經台 {76}, https://hoytv-live-stream.hoy.tv/ch76/va2-index.m3u8
國際財經台 {76}, https://hoytv-live-stream.hoy.tv/ch76/va2-index-2-a2.m3u8
HOY TV {77}, https://d238cgug17vwpr.cloudfront.net/ch1/live.m3u8
HOY TV {77}, https://d238cgug17vwpr.cloudfront.net/ch1/live-3-v-fhd.m3u8
HOY 资讯 {78}, https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
HOY 资讯 {78}, https://hoytv-live-stream.hoy.tv/ch78/index-fhd-1-v-fhd.m3u8


翡翠台[81], http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
翡翠台[81], http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=MDAD1890217018902170&ct=19249&tsum=36346362d72a1e85802fa5d3eee3861c
翡翠台[x0], http://198.16.100.90:8278/Wlt/playlist.m3u8?tid=MC9C7523788875237888&ct=19225&tsum=fc74aa160d3ca61369c2e5f3ae79ee8e
翡翠台[x1], https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8


J2, http://198.16.100.90:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
J2, http://198.16.100.90:8278/j2_twn/playlist.m3u8?tid=MFCF3274854132748541&ct=19254&tsum=699466c18aac56202ad1d2843fd21032
J2, http://50.7.238.114:8278/j2_twn/playlist.m3u8?tid=MFCF3274854132748541&ct=19254&tsum=699466c18aac56202ad1d2843fd21032

无线新闻, https://epg.pw/stream/24ad86b6b170c8279e4b2961c998b8f0837e3217812ead12388ec930f2cb4ca8.ctv

明珠台[84],http://198.16.100.90:8278/pearl_twn/playlist.m3u8?tid=MC6C7041327570413275&ct=19226&tsum=681972baf66d69caf7cccc92a90e5aad

无线财经, http://198.16.100.90:8278/tvbcaijing_twn/playlist.m3u8?tid=MD3D9552893795528937&ct=19254&tsum=77d4c2db4fa7537d7dd3eb19f933526d


VIUTV6 [96], http://198.16.100.90:8278/viusix_twn/playlist.m3u8?tid=MF0F4217630642176306&ct=19249&tsum=33becc0fe8466036420dbbb4727dc49e

凤凰资讯, http://198.16.100.90:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e
凤凰资讯, http://198.16.100.90:8278/phoenixinfo_hd/playlist.m3u8?tid=m7f4a830029be&ct=18336&tsum=74f57bddc0725f74838380086dce3e44


凤凰香港, http://198.16.100.90:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed

凤凰中文台, http://198.16.100.90:8278/phoenixtv_hd/playlist.m3u8?tid=MF6F2163882521638825&ct=19249&tsum=2375037c2689c4190d14c8a52bc35c83

耀才财经, http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经, http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经, http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8

